Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Gorilla gorilla	Gorilla gorilla	Primates			407		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			411		90000		F	1	Adult	Hrdlicka 1925	Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates	383.5	40.8	397.306	42.2688	85000	23600	M&F	2	Not Adult	Rilling 1999	"1 male, 1 female; Age class estimated from body mass"
Gorilla gorilla	Gorilla gorilla	Primates			490.2		90000		F	1	Adult	Sherwood data/this study	Estimated age of species: 50y; Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			574.0		188250		M	1	Adult	Sherwood data/this study	Estimated age of species: 21.5y; Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			477.1		188250		M	1	Adult	Sherwood data/this study	Estimated age of species: 49y; Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			574.2		188250		M	1	Adult	Sherwood data/this study	Estimated age of species: 43y; Body mass estimated from Silva & Downing 1995
Gorilla gorilla	Gorilla gorilla	Primates			541.2		NA		M	1	Not Adult	Sherwood data/this study	Estimated age of species: 13y; Body mass estimated from Myers 2006
Gorilla gorilla	Gorilla gorilla	Primates			500		105000		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Grammomys cometes	Thamnomys cometes	Rodentia			0.96		40.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Grammomys poensis	Thamnomys rutilans	Rodentia			0.96		50.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Grampus griseus	Grampus griseus	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Grampus griseus	Grampus griseus	Cetartiodactyla			2270		234000		F	1	Not Adult	Pilleri & Busnel 1969	Age class estimated from body mass
Graphiurus murinus	Claviglis saturatus	Rodentia			0.551		17.7		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Gymnobelideus leadbeateri	Gymnobelideus leadbeateri	Diprotodontia	2.85	0.07	2.9526		90.5	5.9	NA	2	Adult	Ashwell 2007	Age class estimated from body mass
Habromys lepturus	Habromys lepturus	Rodentia			0.77		NA		M&F	5	Adult	Mace & Eisenberg 1982	
Habromys lophurus	Habromys lophurus	Rodentia			0.63		NA		M&F	10	Adult	Mace & Eisenberg 1982	
Halichoerus grypus	Halichoerus grypus	Carnivora			272.5		155000		F	1	Adult	Bininda-Emonds 2000	
Halichoerus grypus	Halichoerus grypus	Carnivora			342.5		233000		M	1	Adult	Bininda-Emonds 2000	
Helarctos malayanus	Helarctor malay.	Carnivora			385.5		45020		F	1	Adult	Count 1947 (Hrdlicka 1925)	
Heliophobius argenteocinereus	Heliophobius argentocinereas	Rodentia			1.43		160		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Heliosciurus gambianus	Heliosciurus gambianus	Rodentia			3.99		295		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Heliosciurus rufobrachium	Heliosciurus rufobrachium	Rodentia			5.75		326		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Heliosciurus ruwenzorii	Heliosciurus ruwenzorii	Rodentia			5.4		291		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hemibelideus lemuroides	Hemibelideus lemuroides	Diprotodontia	3.15	0.15	3.2634		496	6	NA	2	NA	Ashwell 2007	
Hemicentetes semispinosus	Hemicentetes semispin	Afrosoricida			0.83		110		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Hemiechinus auritus	Hemiechinus auritus	Erinaceomorpha			1.9		250		NA	3	Adult	Stephan 1981	Age class estimated from body mass
Herpestes ichneumon	Herpestes cafer	Carnivora			24.1		1764		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Herpestes smithii	Herpestes Smithii	Carnivora			14.6		1205		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Herpestes sp.	Herpestes galera	Carnivora			28.8		2675		NA	1	NA	Warncke 1908	
Heterocephalus glaber	Heterocephalus glaber	Rodentia			0.52		60.8		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Heterohyrax brucei	Heterohyrax brucei	Hyracoidea			12.27		750		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Heteromys desmarestianus	Heteromys desmarestianus	Rodentia	1.13	0.02	1.17068	0.02072	77.1	11.6	M	6	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Heteromys desmarestianus	Heteromys desinerestianus	Rodentia			1.08		72.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hippopotamus amphibius	Hippopotamus amphibius	Cetartiodactyla			540		543000		F	1	Juvenile	Crile & Quiring 1940	
Hippopotamus amphibius	Hippopotamus amphibius	Cetartiodactyla			720		1351000		F	1	Adult	Crile & Quiring 1940	
Hipposideros bicolor	Hipposideros bicolor	Chiroptera			0.24		8.4		NA	11	Adult	Pirlot & Stephan 1970	
Hipposideros caffer	Hipposideros caffer	Chiroptera			0.32		10.7		NA	17	Adult	Pirlot & Stephan 1970	
Histriophoca fasciata	Phoca fasciata	Carnivora			240		80360		F	1	Adult	Bininda-Emonds 2000	
Histriophoca fasciata	Phoca fasciata	Carnivora			257.5		94800		M	1	Adult	Bininda-Emonds 2000	
Holochilus sciureus	Holochileus sciureus	Rodentia			1.41		112.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Homo sapiens	Homo	Primates			1320.15		62080		NA	NA	NA	Crile & Quiring 1940	
Homo sapiens	Homo sapiens	Primates	1298.9	52	1345.6604	53.872	67700	4900	M&F	6	NA	Rilling 1999	"3 males, 3 females"
Homo sapiens	Homo sapiens	Primates			1084.0		52000		F	1	Adult	Sherwood data/this study	Estimated age of species: >90y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1138.0		52000		F	1	Adult	Sherwood data/this study	Estimated age of species: 73y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1270.0		52000		F	1	Adult	Sherwood data/this study	Estimated age of species: >90y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1251.0		75000		M	1	Adult	Sherwood data/this study	Estimated age of species: 7y1: Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1250.0		75000		M	1	Adult	Sherwood data/this study	Estimated age of species: 65y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1460.0		75000		M	1	Adult	Sherwood data/this study	Estimated age of species: 37y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1300.0		75000		M	1	Adult	Sherwood data/this study	Estimated age of species: 72y; Body mass estimated from Nowak 1991
Homo sapiens	Homo sapiens	Primates			1330		65000		NA	1	NA	Stephan 1981	
Hoplomys gymnurus	Hoplomys gymnurus	Rodentia			4.13		330		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hybomys trivirgatus	Hybomys trivirgatus	Rodentia			1.1		57.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hydrochoerus hydrochaeris	Hydrochaeris hydrochaeris	Rodentia			75		28500		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Hydrochoerus hydrochaeris	Hydrochaeris hydrochaeris	Rodentia			51		7800		NA	1	Adult	Glendenning 1998	
Hydromys chrysogaster	Hydromys chrysogaster	Rodentia			4.33		698		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hydrurga leptonyx	Hydrurga leptonyx	Carnivora			765		324000		M	1	Adult	Bininda-Emonds 2000	
Hydrurga leptonyx	Hydrurga leptonyx	Carnivora			660		367000		F	1	Adult	Bininda-Emonds 2000	
Hylobates agilis	Hylobates agilis 	Primates			96.9		4309		M	1	Adult	Hrdlicka 1925	"True weight, in field"
Hylobates agilis	Hylobates agilis 	Primates			77		4536		F	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			108.7		4879		M	1	Adult	Hrdlicka 1925	"True weight, in field"
Hylobates agilis	Hylobates agilis 	Primates			83		4989		M	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			76		5333		F	1	Adult	Hrdlicka 1925	Weighed about 6 months after laying in preservative (10% formalin)
Hylobates agilis	Hylobates agilis 	Primates			79.2		5443		M	1	Adult	Hrdlicka 1925	Weighed about 6 months after laying in preservative (10% formalin)
Hylobates agilis	Hylobates agilis 	Primates			81.5		5670		M	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			86.5		5670		F	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			93		5897		M	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			98.9		5897		M	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			89		6350		M	1	Adult	Hrdlicka 1925	
Hylobates agilis	Hylobates agilis 	Primates			87.5		7372		M	1	Adult	Hrdlicka 1925	
Hylobates lar	Hylobates lar	Primates	83	5.6	85.988	5.8016	5400	500	M&F	4	Adult	Rilling 1999	"2 males, 2 females; Body mass estimated from Silva & Downing 1995"
Hylobates lar	Hylobates lar	Primates			102		5700		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Hylobates muelleri	Hylobates muelleri	Primates			101.8		5700		M	1	Adult	Sherwood data/this study	Estimated age of species: 18.6y; Body mass estimated from Rowe 1996
Hylobates mulleri	Hylobates mulleri	Primates			84.4		4876		M	1	Adult	Hrdlicka 1925	Weighed about 6 months after laying in preservative (10% formalin)
Hylobates mulleri	Hylobates mulleri	Primates			108.5		5443		M	1	Adult	Hrdlicka 1925	
Hylobates mulleri	Hylobates mulleri	Primates			85		6011		F	1	Adult	Hrdlicka 1925	Weighed about 6 months after laying in preservative (10% formalin)
Hylobates mulleri	Hylobates mulleri	Primates			95		6123		F	1	Adult	Hrdlicka 1925	
Hylobates mulleri	Hylobates mulleri	Primates			97.4		6228		M	1	Adult	Hrdlicka 1925	
Hylobates mulleri	Hylobates mulleri	Primates			99.4		6454		F	1	Adult	Hrdlicka 1925	
Hylobates mulleri	Hylobates mulleri	Primates			91		6804		F	1	Adult	Hrdlicka 1925	
Hylobates sp.	Hylobates sp. 	Primates			106.5		5879		M	1	Adult	Hrdlicka 1925	"Brain left in skull, extracted and weighed in Laboratory"
Hylobates sp.	Hylobates sp. 	Primates			99		6240		F	1	Adult	Hrdlicka 1925	"Brain left in skull, extracted and weighed in Laboratory"
Hylobates sp.	Hylobates sp. 	Primates			99.5		6240		F	1	Adult	Hrdlicka 1925	"Brain left in skull, extracted and weighed in Laboratory"
Hylopetes spadiceus	Hylopetes spadiceus	Rodentia			1.87		87.5		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Hypsignathus monstrosus	Hypsignatus monstrosus	Chiroptera			3.4		340		NA	2	Adult	Pirlot & Stephan 1970	
Hystrix sp.	Hystrix	Rodentia			37.5		15000		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
Ichneumia albicauda	Ichneumia albicauda	Carnivora			28.3		4400		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Ignacius graybullianus	Ignacius graybullianus	Primates	2.14		2.21704				NA	1	NA	Silcox 2009	Extinct
Indri indri	Indri indri	Primates			38.3		6250		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Inia geoffrensis	Inia geoffrensis	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Iomys horsfieldii	Iomys horsfieldii	Rodentia			3.38		155.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Isoodon macrourus	Isoodon macrourus	Peramelemorphia	4.42	1.14	4.57912		822	319	NA	34	Adult	Ashwell 2007	Age class estimated from body mass
Isoodon macrourus	Isoodon macrourus	Peramelemorphia			0.18		8.61		NA	1	Adult	Glendenning 1998	
Isoodon obesulus	Isoodon obesulus	Peramelemorphia	3.89	0.85	4.03004		691	215	NA	11	Adult	Ashwell 2007	Age class estimated from body mass
Isthmomys flavidus	Ischmomys flavidus	Rodentia			1.37		NA		M&F	2	Adult	Mace & Eisenberg 1982	
Isthmomys pirrensis	Ischmomys pirrensis	Rodentia			1.71		138		M&F	10	Adult	Mace & Eisenberg 1982	Body mass estimated from Silva & Downing 1995
Jaculus jaculus	Dipus hirtipes	Rodentia			1.85		73		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Jaculus jaculus	Jaculus jaculus	Rodentia			1.21		55.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Jaculus orientalis	Jaculus orientalis	Rodentia			2.5		98		NA	1	Adult	Warncke 1908	
Jaculus orientalis	Jaculus orientalis	Rodentia			1.3		37		NA	1	Juvenile	Warncke 1908	
Kobus ellipsiprymnus	Kobus ellipsiprymnus	Cetartiodactyla			290		188200		M	1	Adult	Quiring 1938	Age class estimated from body mass
Kogia breviceps	Kogia breviceps	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Kogia sima	Kogia simus	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Kogia simus	Kogia simus	Cetartiodactyla			544		107000		F	1	Subadult	Marino 2003	Age class estimated from body mass
Kogia sp.	Kogia	Cetartiodactyla			687		40000		F	1	Juvenile	Ridgway et al. 1987	
Lagenorhynchus acutus	Lagenorhynchus acutus	Cetartiodactyla			1057.8		42600		M	1	Not Adult	Montie et al. 2007	Estimated age of species: 2-3yrs
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens	Cetartiodactyla			1046		70000		M	1	Adult	"Ridgway, Flanigan, McCormick 1966"	
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens	Cetartiodactyla			1079		79000		F	1	Adult	"Ridgway, Flanigan, McCormick 1966"	
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens	Cetartiodactyla			1136		100000		M	1	Adult	"Ridgway, Flanigan, McCormick 1966"	
Lagenorhynchus obliquidens	Lagenorhynchus obliquidens	Cetartiodactyla			1286		110000		M	1	Adult	"Ridgway, Flanigan, McCormick 1966"	
Lagenorhynchus sp.	Lagenorhynchus	Cetartiodactyla			1253		130000		F	1	Adult	Ridgway et al. 1987	
Lagidium viscacia	Viscacia viscacia	Rodentia			16		2252		NA	1	Adult	Warncke 1908	
Lagidium viscacia	Viscacia viscacia	Rodentia			15.2		2350		NA	1	Adult	Warncke 1908	
Lagidium viscacia	Viscacia viscacia	Rodentia			14.8		3845		NA	1	Adult	Warncke 1908	
Lagidium viscacia	Viscacia viscacia	Rodentia			14.3		1395		NA	1	Adult	Warncke 1908	
Lagorchestes conspicillatus	Lagorchestes conspicillatus	Diprotodontia	14	2.1	14.504		2015	50	NA	2	Adult	Ashwell 2007	Age class estimated from body mass
Lagorchestes hirsutus	Lagorchestes hirsutus	Diprotodontia	7.77	0.42	8.04972		1050	81	NA	3	Not Adult	Ashwell 2007	Age class estimated from body mass
Lagorchestes leporides	Lagorchestes leporides	Diprotodontia	12.6	0.6	13.0536		1598	69	NA	3	NA	Ashwell 2007	
Lagostomus maximus	Lagostomsu maximus	Rodentia			8.8		3854		NA	NA	Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Lagostomus maximus	Lagostromus maximus	Rodentia			16.52		4687.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lagostrophus fasciatus	Lagostrophus fasciatus	Diprotodontia	7		7.252		773		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Lagothrix lagotricha	Lagothrix humboldti	Primates			86.2		5260		F	1	Adult	Crile & Quiring 1940	
Lagothrix lagotricha	Lagothrix lagotricha	Primates	101		104.636		NA		NA	1	NA	Haug 1987	
Lagothrix lagotricha	Lagothrix humboldti	Primates			112		4850		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Lagothrix lagotricha	Lagothrix lagothricha	Primates			101		5200		NA	3	Not Adult	Stephan 1981	Age class estimated from body mass
Lagothrix lagotricha	Lagothrix lagotrica 	Primates			92.5		2550		NA	1	Adult	Warncke 1908	
Lagurus lagurus	Lagurus lagurus	Rodentia			0.42		20.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lama glama	Llama peruana	Cetartiodactyla			200.3		60000		NA	1	Adult	Glendenning 1998	
Lama glama	Auchenia glama	Cetartiodactyla			222		NA		F	1	NA	Spitzka 1903	
Lama glama	Lama glama	Cetartiodactyla			170		8000		NA	1	Newborn	Warncke 1908	
Lasiorhinus latifrons	Lasiorhinus latifrons	Diprotodontia	55.5	4.2	57.498		19264	5013	NA	9	Not Adult	Ashwell 2007	Age class estimated from body mass
Leggadina sp. 	Leggadina heermansburgensis	Rodentia			0.49				M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lemmus lemmus	Lemmus lemmus	Rodentia			0.86		68.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lemmus lemmus	Myodes lemmus	Rodentia			0.7		21		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Lemmus trimucronatus	Lemmus trinucronatus	Rodentia			1.126		32		F	4	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Lemmus trimucronatus	Lemmus trinucronatus	Rodentia			1.312		48		M	1	NA	Crile & Quiring 1940	
Lemmus trimucronatus	Lemmus trimucronatus	Rodentia			0.9		69.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lemniscomys striatus	Lemniscomys striatus	Rodentia			0.85		46.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lemur catta	Lemur catta	Primates			21.8		1725		F	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Lemur catta	Lemur catta	Primates			23.35		1246		F	1	Adult	Hrdlicka 1925	Body was emaciated
Lemur catta	Lemur catta	Primates			22.3		1960		F	1	Adult	Sherwood data/this study	"Estimated age of species: 16 y, 5 m; Body mass estimated from Silva & Downing 1995"
Lemur catta	Lemur catta	Primates			21.8		1960		F	1	Adult	Sherwood data/this study	"Estimated age of species: 24 y, 4 m; Body mass estimated from Silva & Downing 1995"
Lemur catta	Lemur catta	Primates			20.8		2350		NA	1	Adult	Warncke 1908	
Leontocebus sp. 	Leontocebus geoffroyi	Primates			9.67		191		M&F	133	Infant	Crile & Quiring 1940	
Leontocebus sp. 	Leontocebus geoffroyi	Primates			10.4		340		F	4	Juvenile	Crile & Quiring 1940	
Leontocebus sp. 	Leontocebus geoffroyi	Primates			11.1		453		M	3	Juvenile	Crile & Quiring 1940	
Leontocebus sp. 	Leontocebus geoffroyi	Primates			11.04		475		M&F	19	Juvenile	Crile & Quiring 1940	
Leontopithecus rosalia	Leontopithecus rosalia	Primates			11.7		502.5		M	1	Adult	Sherwood data/this study	Estimated age of species: 6.5; Body mass estimated from Silva & Downing 1995
Leontopithecus rosalia	Leontopithecus rosalia	Primates			12.7		570		F	1	Adult	Sherwood data/this study	Estimated age of species: 6.5; Body mass estimated from Silva & Downing 1995
Leontopithecus rosalia	Leontopithecus rosalia	Primates			15.1		570		F	1	Adult	Sherwood data/this study	Estimated age of species: 6.5; Body mass estimated from Silva & Downing 1995
Leontopithecus rosalia	Leontopithecus rosalia	Primates			14		NA		NA	1	Adult	Warncke 1908	
Leontopithecus rosalia	Leontopithecus rosalia	Primates			12.7		407		NA	1	Adult	Warncke 1908	
Leopardus pardalis	Felis pardalis	Carnivora			63.1		9525.5		M	2	Adult	Count 1947 (Hrdlicka 1925)	
Leopoldamys milleti	Rattus edwardsi	Rodentia			4.22		332.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Leopoldamys siporanus	Rattus sabanus	Rodentia			3.39		332.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Lepilemur ruficaudatus	Lemur ruficaudatua	Primates	7.4		7.6664		NA		NA	1	NA	Haug 1987	
Lepilemur ruficaudatus	Lepilemur ruficaudatus	Primates			7.6		915		NA	3	NA	Stephan 1981	
Leptailurus serval	Felis serral	Carnivora			54.1		11340		M	1	Adult	Count 1947 (Hrdlicka 1925)	
Leptonychotes weddellii	Leptonychotes weddellii	Carnivora			535		360000		M	1	Adult	Bininda-Emonds 2000	
Leptonychotes weddellii	Leptonychotes weddellii	Carnivora			637.5		376000		F	1	Adult	Bininda-Emonds 2000	
Leptonychotes weddellii	Weddell seal	Carnivora			520		400000		NA	NA	Adult	Robin 1973	Age class estimated from body mass
Leptonycteris curasoae	Leptonycteris curasoae	Chiroptera			0.55		24.5		NA	5	Adult	Pirlot & Stephan 1970	
